a2ps	4.14	Any-to-PostScript filter
rbenv-binstubs	v1.4	Make rbenv aware of bundler binstubs
rbenv-bundle-exec	v1.0.0	Integrate rbenv and bundler
rbenv-bundler	0.99	Makes shims aware of bundle install paths
rbenv-bundler-ruby-version	v0.2	Pick a ruby version from bundler's Gemfile
rbenv-communal-gems	v1.0.1	Share gems across multiple rbenv Ruby installs
rbenv-ctags	v1.0.1	Automatically generate ctags for rbenv Ruby stdlibs
rbenv-default-gems	v1.0.0	Auto-installs gems for Ruby installs
rbenv-gem-rehash	v1.0.0	Automatically runs `rbenv rehash`
rbenv-gemset	v0.5.8	Adds basic gemset support to rbenv
rbenv-readline	v1.0.0	Automatically link Ruby installs to readline
rbenv-use	v1.0.0	Switch between rubies without reference to patch levels
rbenv-vars	v1.2.0	Safely sets global and per-project environment variables
rbenv-whatis	v1.0.0	Resolves abbreviations and aliases to Ruby versions
rc	1.7.2	Implementation of the AT&T Plan 9 shell
rcs	5.9.4	GNU revision control system
rcssserver	15.2.2	Server for RoboCup Soccer Simulator
rdate	1.5	Set the system's date from a remote host
rdfind	1.3.4	Find duplicate files based on content (NOT file names)
rdiff-backup	1.2.8	Backs up one directory to another--also works over networks
rds-command-line-tools	1.19.004	Amazon RDS command-line toolkit
rdup	1.1.14	Utility to create a file list suitable for making backups
re2	2015-08-01	Alternative to backtracking PCRE-style regular expression engines
re2c	2 : 	Generate C-based recognizers from regular expressions
readline	7.0	Library for command-line editing
readosm	1.0.0	Extract valid data from an Open Street Map input file
reattach-to-user-namespace	v2.4	Reattach process (e.g., tmux) to background
reaver	1.4	Implements brute force attack to recover WPA/WPA2 passkeys
rebar	2.6.0	Erlang build tool
reclass	1.4.1	Recursive external node classification
recode	v3.7	Convert character set (charsets)
recoverjpeg	2.3	Tool to recover JPEG images from a file system image
recutils	1.7	Tools to work with human-editable, plain text data files
redir	2.2.1-9	Port redirector
redis	3.0.4	Persistent key-value database, with built-in net interface
redis-leveldb	v1.4	Redis-protocol compatible frontend to leveldb
redland	1.0.17	RDF Library
redo	0.11	Implements djb's redo: an alternative to make(1)
redpen	1.3.0	Proofreading tool to help writers of technical documentation
redshift	1.10	Adjusts color temperature of your screen according to your surroundings
redsocks	0.4	Transparent socks redirector
redstore	0.5.4	Lightweight RDF triplestore powered by Redland
regex-opt	1.2.3	Perl-compatible regular expression optimizer
regina-rexx	3.9.1	Regina REXX interpreter
regldg	1.0.0	Regular expression grammar language dictionary generator
rem	20150618	Command-line tool to access OSX Reminders.app database
remake	4.1	GNU Make with improved error handling, tracing, and a debugger
remarshal	v0.3.0	Convert between TOML, YAML and JSON
remctl	3.9	Client/server application for remote execution of tasks
remind	03.01.15	Sophisticated calendar and alarm
ren	1.0	Rename multiple files in a directory
rename	v1.600	Perl-powered file rename script with many helpful built-ins
renameutils	0.12.0	Tools for file renaming
reop	2.1.0	Encrypted keypair management
repl	v1.0.0	Wrap non-interactive programs with a REPL
repo	1.12	Repository tool for Android development
reposurgeon	3.29	Edit version-control repository history
rest-shell	1.2.1	Shell to work with Spring HATEOAS-compliant REST resources
restund	0.4.11	Modular STUN/TURN server
resty	2.2	Command-line REST client that can be used in pipelines
rethinkdb	2.1.4	The open-source database for the realtime web
rexster	2.6.0	Graph server exposing Blueprints graph via REST
rexster-console	2.6.0	Graph server exposing Blueprints graph via REST
rfcdiff	1.42	Compare RFC Internet Draft versions
rfcmarkup	1.108	Add HTML markup and links to internet-drafts and RFCs
rfcstrip	1.03	Strips headers and footers from RFCs and Internet-Drafts
rgbds	0.2.3	Rednex GameBoy development system
rgxg	0.1	C library and command-line tool to generate (extended) regular expressions
rhash	1.3.3	Utility for computing and verifying hash sums of files
rhino	1.7.6	JavaScript engine
riak	2.1.1	Distributed database
riemann	0.2.10	Event stream processor
riemann-client	1.3.0	C client library for the Riemann monitoring system
rig	1.11	Provides fake name and address data
rinetd	0.62	Internet TCP redirection server
ringojs	0.11	CommonJS-based JavaScript runtime
ripmime	1.4.0.10	Extract attachments out of MIME encoded email packages
rkflashtool	5.1	Tools for flashing Rockchip devices
rkhunter	1.4.2	Rootkit hunter
rlog	1.4	Flexible message logging facility for C++
rlwrap	0.42	Readline wrapper: adds readline support to tools that lack it
rmate	v1.5.7	Edit files from an SSH session in TextMate
rmcast	2.0.0	IP Multicast library
rmtrash	0.3.3	Move files to OS X's Trash
rnv	1.7.11	Implementation of Relax NG Compact Syntax validator
robodoc	4.99.43	Source code documentation tool
rock	v0.9.10	ooc compiler written in ooc
rocksdb	3.13	Persistent key-value store for fast storage environments
rolldice	v1.14	Rolls an amount of virtual dice
roundup	v0.0.5	Issue-tracking system
rp	1.0	Tool to find ROP sequences in PE/Elf/Mach-O x86/x64 binaries
rpg	0.3.0	Ruby package management for UNIX
rpl	1.4.1	Text replacement utility
rpm	5.4.15	RPM package manager
rpm2cpio	1.3	Tool to convert RPM package to CPIO archive
rrdtool	1.5.4	Round Robin Database
rsense	0.3	Ruby development tools for Emacs and Vim
rsnapshot	1.4.1	File system snapshot utility (based on rsync)
rssh	2.3.4	Restricted shell for use with OpenSSH
rsstail	2.0	Monitors an RSS feed and emits new entries when detected
rsyslog	7.4.5	Enhanced, multi-threaded syslogd
rt-audio	4.1.1	API for realtime audio input/output
rtags	v2.0	ctags-like source code cross-referencer with a clang frontend
rtf2latex2e	2.2.2	RTF-to-LaTeX translation
rtmidi	2.1.0	C++ classes that provide a common API for realtime MIDI input/output
rtmpdump	2.4+20150115	Tool for downloading RTMP streaming media
rtorrent	0.9.6	Console-based BitTorrent client
rtpbreak	1.3	Detect, reconstruct and analyze any RTP session
rubber	1.2	Automated building of LaTeX documents
ruby	2.4.1	Powerful, clean, object-oriented scripting language
ruby-build	v20150928	Install various Ruby versions and implementations
ruby-install	v0.5.0	Install Ruby, JRuby, Rubinius, or MagLev
runcocoa	20120108	Tools to run Cocoa/Objective-C and C code from the command-line
runit	2.1.1	Collection of tools for managing UNIX services
rush	1.7	GNU's Restricted User SHell
rust	1.3.0	Safe, concurrent, practical language
ry	v0.5.2	Ruby virtual env tool
rzip	2.1	File compression tool (like gzip or bzip2)
s-lang	2.3.0	Library for creating multi-platform software
s3cmd	1.5.2	Command-line tool for the Amazon S3 service
s3sync	1.2.6	Interfaces to Amazon S3
safe-rm	0.12	Wraps rm to prevent dangerous deletion of files
saltstack	2015.8.0	Dynamic infrastructure communication bus
sam2p	0.49.2	Convert raster images to EPS, PDF, and other formats
samba	3.6.25	SMB/CIFS file, print, and login server for UNIX
sane-backends	1.0.24	Backends for scanner access
sary	1.2.0	Suffix array library
sassc	3.2.4	Wrapper around libsass that helps to create command-line apps
savana	1.2	Transactional workspaces for SVN
saxon	9.6.0.7	XSLT and XQuery processor
saxon-b	9.1.0.8	XSLT and XQuery processor
sbcl	1.2.15	Steel Bank Common Lisp system
sblim-sfcc	2.2.8	Project to enhance the manageability of GNU/Linux system
sbt	0.13.9	Build tool for Scala projects
sbtenv	0.0.9	Command-line tool for managing sbt environments
sbuild	0.7.7	Scala-based build system
sc68	2.2.1	Play music originally designed for Atari ST and Amiga computers
scala	2.11.7	Scala programming language
scalaenv	0.0.8	Command-line tool to manage Scala environments
scalariform	0.1.6	Scala source code formatter
scalastyle	0.7.0	Run scalastyle from the command-line
scale2x	2.4	Real-time graphics effect
scamper	20141211a	Advanced traceroute and network measurement utility
scheme48	1.9.2	Scheme byte-code interpreter
schroedinger	1.0.11	High-speed implementation of the Dirac codec
scm-manager	1.46	Manage Git, Mercurial, and Subversion repos over HTTP
scmpuff	v0.1.1	Adds numbered shortcuts for common git commands
scons	2.3.6	Substitute for classic 'make' tool with autoconf/automake functionality
screenbrightness	1.2	Change OS X display brightness from the command-line
screenfetch	v3.7.0	Generate ASCII art with terminal, shell, and OS info
screenresolution	v1.6	Get, set, and list display resolution
scriptcs	v0.15.0	Tools to write and execute C#
scrollkeeper	0.3.14	Transitional package for scrollkeeper
scrub	2.6.1	Writes patterns on magnetic media to thwart data recovery
scrypt	1.2.0	Encrypt and decrypt files using memory-hard password function
scsh	0.6.7	Scheme shell
scw	v1.5.0	Manage BareMetal Servers from Command Line (as easily as with Docker)
sdcc	3.5.0	ANSI C compiler for Intel 8051, Maxim 80DS390, and Zilog Z80
sdcv	0.5-2013-09-10	StarDict Console Version
sdf	2.6.3	Syntax Definition Formalism: high-level description of grammars
sdhash	3.1	Tool for correlating binary blobs of data
sdl	1.2.15	Low-level access to audio, keyboard, mouse, joystick and graphics
sdl2	2.0.3	Low-level access to audio, keyboard, mouse, joystick, and graphics
sdl2_gfx	1.0.0	SDL2 graphics drawing primitives and other support functions
sdl2_image	2.0.0	Library for loading images as SDL surfaces and textures
sdl2_mixer	2.0.0	Sample multi-channel audio mixer library
sdl2_net	2.0.0	Small sample cross-platform networking library
sdl2_ttf	2.0.12	Library for using TrueType fonts in SDL applications
sdl_gfx	2.0.24	Graphics drawing primitives and other support functions
sdl_image	1.2.12	Image file loading library
sdl_mixer	1.2.12	Sample multi-channel audio mixer library
sdl_net	1.2.8	Sample cross-platform networking library
sdl_rtf	0.1.0	Sample library to display Rich Text Format (RTF) documents
sdl_sound	1.0.3	Library to decode several popular sound file formats
sdl_ttf	2.0.11	Library for using TrueType fonts in SDL applications
sec	2.7.6	Event correlation tool for event processing of various kinds
sedna	3.5.161	XML database
seexpr	1.0.1	Embeddable expression evaluation engine
selecta	v0.0.6	Fuzzy text selector for files and anything else you need to select
selenium-server-standalone	2.47.1	Browser automation for testing purposes
sendemail	v1.56	Email program for sending SMTP mail
ser2net	2.9.1	Allow network connections to serial ports
serd	0.20.0	C library for RDF syntax
serialosc	1.2	Opensound control server for monome devices
sersniff	0.0.5	Program to tunnel/sniff between 2 serial ports
serveit	v0.0.1	synchronous server and rebuilder of static content
setweblocthumb	v1.0.0	Assigns custom icons to webloc files
sf-pwgen	1.3	Generate passwords using SecurityFoundation framework
sfcgal	v1.0.5	C++ wrapper library around CGAL
sfk	1.7.5	Command Line Tools Collection
sflowtool	3.35	Utilities and scripts for analyzing sFlow data
sfml	2.3	Multi-media library with bindings for multiple languages
sgrep	1.94a	Search SGML, XML, and HTML
sha2	1.0.1	Implementation of SHA-256, SHA-384, and SHA-512 hash algorithms
shadowsocks-libev	v2.4.0	Libev port of shadowsocks
shakespeare	1.2.1	Write programs in Shakespearean English
shapelib	1.3.0	Library for reading and writing ArcView Shapefiles
shared-mime-info	1.5	Database of common MIME types
shell_cmds	170
shellcheck	v0.4.1	Static analysis and lint tool, for (ba)sh scripts
shellinabox	2.14	Export command-line tools to web based terminal emulator
shiboken	1.2.2	GeneratorRunner plugin that outputs C++ code for CPython extensions
shivavg	0.2.1	OpenGL based ANSI C implementation of the OpenVG standard
shmcat	1.7	Tool that dumps shared memory segments (System V and POSIX)
shmux	1.0.2	Execute the same command on many hosts in parallel
shntool	3.0.10	Multi-purpose tool for manipulating and analyzing WAV files
shocco	1.0	Literate documentation tool for shell scripts (a la Docco)
shorten	3.6.1	Waveform compression
shpotify	1.0.0	Command-line interface for Spotify on a Mac
shrewsoft-vpn-client	2.2.1	Linux/BSD version of Shrew Soft VPN client
shtool	2.0.8	GNU's portable shell tool
shunit2	2.1.6	xUnit unit testing framework for Bourne-based shell scripts
sic	1.2	Minimal multiplexing IRC client
sickbeard	507	PVR application to search and manage TV shows
siege	3.1.0	HTTP regression testing and benchmarking utility
signify-osx	1.2	Cryptographically sign and verify files
signing-party	2.1	Various OpenPGP related tools
silc-client	1.1.11	SILC conferencing client
sile	0.9.2	Modern typesetting system inspired by TeX
silk	3.10.2	Collection of traffic analysis tools
simgrid	3.11.1	Studies behavior of large-scale distributed systems
simh	3.9-0	Portable, multi-system simulator
simple-amqp-client	v2.4.0	C++ interface to rabbitmq-c
simple-tiles	v0.6.0	Image generation library for spatial data
since	1.1	Stateful tail: show changes to files since last check
sip	4.16.9	Tool to create Python bindings for C and C++ libraries
sipcalc	1.1.6	Advanced console-based IP subnet calculator
sipp	v3.4.1	Traffic generator for the SIP protocol
sipsak	0.9.6	SIP Swiss army knife
sisc-scheme	1.16.6	Extensive Java based Scheme interpreter
sispmctl	3.1	Control Gembird SIS-PM programmable power outlet strips
sjk	0.3.6	Swiss Java Knife
skinny	1.3.20	Full-stack web app framework built on Scalatra
skipfish	2.10	Web application security scanner
skktools	1.3.3	SKK dictionary maintenance tools
skytools	3.2	Database management tools from Skype to PostgreSQL
sl	5.02	Prints a steam locomotive if you type sl instead of ls
sleepwatcher	2.2	Monitors sleep, wakeup, and idleness of a Mac
sleuthkit	4.1.3	Forensic toolkit
slimerjs	0.9.6	Scriptable browser for Web developers
sloccount	2.26	Count lines of code in many languages
slony	1-2.2.4	Master to multiple slaves replication system for PostgreSQL
slowhttptest	1.6	Simulates application layer denial of service attacks
slrn	1.0.2	Powerful console-based newsreader
slurm	0.4.2	Yet another network load monitor
smake	1.2.5	Portable make program with automake features
smali	2.0.6	Assembler/disassembler for Android's Java VM implementation
smartmontools	6.5	SMART hard drive monitoring
smartypants	1.5.1	Typography prettifier
smlnj	110.78	Standard ML of New Jersey
smpeg	0_4_5	SDL MPEG Player Library
smpeg2	2_0_0	SDL MPEG Player Library
snag	v1.0.0	Automatic build tool for all your needs
snap7	1.4.0	Ethernet communication suite that works natively with Siemens S7 PLCs
snappy	1.1.3	Compression/decompression library aiming for high speed
snappystream	0.2.1	C++ snappy stream realization (compatible with snappy)
snapraid	8.1	Backup program for disk arrays
sngrep	v0.2.2	Command-line tool for displaying SIP calls message flows
snobol4	1.5	SNOBOL4 programming language
snort	2.9.7.3	Flexible Network Intrusion Detection System
snow	20130616	Whitespace steganography: coded messages using whitespace
snownews	1.5.12	Text mode RSS newsreader
sntop	1.4.3	Curses-based utility that polls hosts to determine connectivity
snzip	1.0.2	Compression/decompression tool based on snappy
socat	1.7.3.0	netcat on steroids
soccerwindow2	5.1.0	Tools for RoboCup Soccer Simulator
soci	3.2.2	Database access library for C++
sofia-sip	1.12.11	SIP User-Agent library
softhsm	2.0.0	Cryptographic store accessible through a PKCS#11 interface
solid	3.5.6	Collision detection library for geometric objects in 3D space
solr	5.3.0	Enterprise search platform from the Apache Lucene project
somagic	1.1	Linux capture program for the Somagic variants of EasyCAP
somagic-tools	1.1	Tools to extract firmware from EasyCAP
sonar	5.1.2	Manage code quality
sonar-runner	2.4	Launcher to analyze a project with SonarQube
sord	0.12.2	C library for storing RDF data in memory
sound-touch	1.9.1	Audio processing library
source-highlight	3.1.8	Source-code syntax highlighter
sourcekitten	0.5.0	Framework and command-line tool for interacting with SourceKit
sox	14.4.2	SOund eXchange: universal sound sample translator
spark	v1.0.1	Sparklines for the shell
sparkey	0.2.0	Constant key-value store, best for frequent read/infrequent write uses
sparse	0.5.0	Static C code analysis tool
spatialindex	1.8.5	General framework for developing spatial indices
spatialite-gui	1.7.1	GUI tool supporting SpatiaLite
spatialite-tools	4.3.0	CLI tools supporting SpatiaLite
spawn-fcgi	1.6.4	Spawn fast-CGI processes
spdylay	v1.3.2	Experimental implementation of SPDY protocol versions 2, 3, and 3.1
speech-tools	2.4	C++ general speech software library from the University of Edinburgh
speedtest_cli	v0.3.2	Command-line interface for http://speedtest.net bandwidth tests
speex	1.2	Audio codec designed for speech
sphinx	2.2.9	Sphinx is a full-text search engine
spidermonkey	1.8.5	JavaScript-C Engine
spim	9.1.13	MIPS32 simulator
spin	6.4.2	Spin model checker
spiped	1.5.0	Secure pipe daemon
splint	3.1.2	Secure Programming Lint
spoof-mac	2.0.5	Spoof your MAC address in OS X
spring-loaded	1.2.3	Java agent to enable class reloading in a running JVM
spring-roo	1.3.1	Rapid application development tool for Java developers
sproxy	1.02	HTTP proxy server collecting URLs in a 'siege-friendly' manner
sqlcipher	v3.3.0	SQLite extension providing 256-bit AES encryption
sqlite	3.15.0	Command-line interface for SQLite
sqlite-analyzer	3.8.8.3	Analyze how space is allocated inside an SQLite file
sqlitebrowser	v3.7.0	Visual tool to create, design, and edit SQLite databases
sqliteman	1.2.2	GUI tool for Sqlite3
sqlmap	0.9	Penetration testing for SQL injection and database servers
sqoop	1.4.6	Transfer bulk data between Hadoop and structured datastores
sqsh	2.5.16.1	Sybase Shell
sqtop	v2015-02-08	Display information about active connections for a Squid proxy
squashfs	4.3	Compressed read-only file system for Linux
squid	3.5.7	Advanced proxy caching server for HTTP, HTTPS, FTP, and Gopher
squirrel	3.0.7	High level, imperative, object-oriented programming language
sratom	0.4.6	Library for serializing LV2 atoms to/from RDF
src	0.19	Simple revision control: RCS reloaded with a modern UI
srclib	v0.0.42	Polyglot code analysis library, build for hackability
srecord	1.64	Tools for manipulating EPROM load files
srmio	0.1.1	C library to access the PowerControl of a SRM bike power meter
srtp	v1.5.2	Implementation of the Secure Real-time Transport Protocol (SRTP)
ssdb	1.8.2	NoSQL database supporting many data structures: Redis alternative
ssdeep	2.13	Recursive piecewise hashing tool
ssed	3.62	Super sed stream editor
ssh-copy-id	6.8p1	Add a public key to a remote machine's authorized_keys file
sshguard	1.6.1	Protect from brute force attacks against SSH
sshrc	0.5	Bring your .bashrc, .vimrc, etc. with you when you SSH
sshtrix	0.0.2	SSH login cracker
sshuttle	0.71	Proxy server that works as a poor man's VPN
ssldump	0.9b3	SSLv3/TLS network protocol analyzer
sslh	v1.17	Forward connections based on first data packet sent by client
sslmate	1.5.0	Buy SSL certs from the command-line
sslyze	0.12.0	SSL scanner
ssreflect	1.5	Virtual package provided by libssreflect-coq
ssss	0.5	Shamir's secret sharing scheme implementation
sstp-client	1.0.9	SSTP (Microsofts Remote Access Solution for PPP over SSL) client
st	v1.1.2	Statistics from the command-line
stanford-parser	2015-04-20	Statistical NLP parser
star	1.5.3	Standard tap archiver
stash-cli	4.3.0	Command-line interface clients for Atlassian products
stdman	v0.2	Formatted C++11/14 stdlib man pages from cppreference.com
stgit	0.17.1	Push/pop utility built on top of Git
stk	4.5.0	Sound Synthesis Toolkit
stklos	1.10	Scheme system compliant with the features defined in R5RS
stlink	1.1.0	stm32 discovery line Linux programmer
stlviewer	0.1	View stl files
stoken	0.90	Tokencode generator compatible with RSA SecurID 128-bit (AES)
stone	2.3e	TCP/IP packet repeater in the application layer
storm	0.9.5	Distributed realtime computation system to process data streams
stormssh	0.6.5	Command-line tool to manage your ssh connections
stow	2.2.0	Organize software neatly under a single directory tree (e.g. /usr/local)
streamripper	1.64.6	Separate tracks via Shoutcasts title-streaming
stress	1.0.4	Tool to impose load on and stress test a computer system
strongswan	5.3.3	VPN based on IPsec
stunnel	5.23	SSL tunneling program
stuntman	1.2.7	Implementation of the STUN protocol
style-check	0.14	Parses latex-formatted text in search of forbidden phrases
sub2srt	0.5.5	Convert subtitles from .sub to subviewer .srt format
subliminal	1.0.1	Library to search and download subtitles
submarine	0.1.4	Search and download subtitles
subnetcalc	2.4.2	IPv4/IPv6 subnet calculator
subversion	1.8.13	Version control system designed to be a better CVS
suomi-malaga-voikko	1.18	Linguistic software and data for Finnish
supersonic	0.9.4	C++ library providing a column oriented query engine
surfraw	2.2.9	Shell Users' Revolutionary Front Rage Against the Web
suricata	2.0.8	Network IDS, IPS, and security monitoring engine
svdlibc	1.4	C library to perform singular value decomposition
svg2pdf	0.1.3	Renders SVG images to a PDF file (using Cairo)
svg2png	0.1.3	SVG to PNG converter
svtplay-dl	0.10.2015.08.24	Download videos from http://svtplay.se
swaks	20130209.0	SMTP command-line test tool
swatchbooker	0.7.3	Reads color swatches from various file formats
swfmill	0.3.3	xml2swf and swf2xml processor
swftools	0.9.2	SWF manipulation and generation tools
swiftgen	0.4.4	Collection of Swift tools to generate Swift code
swiftlint	0.2.0	Experimental tool to enforce Swift style and conventions
swig	3.0.7	Generate scripting interfaces to C/C++ code
swish-e	2.4.7	System for indexing collections of web pages
switchaudio-osx	1.0.0	Change OS X audio source from the command-line
sword	1.7.4	Cross-platform tools to write Bible software
syck	0.70	Extension for reading and writing YAML
sync_gateway	1.0.4	Make Couchbase Server a replication endpoint for Couchbase Lite
syncthing	v0.11.25	Open source continuous file synchronization application
syncthing-inotify	v0.6.5	File watcher intended for use with Syncthing
synfig	1.0	Command-line renderer
synfigstudio	1.0	Vector-based 2D animation package
synscan	5.02	Asynchronous half-open TCP portscanner
syntaxerl	0.8.0	Syntax checker for Erlang code and config files
sysbench	0.4.12	System performance benchmark tool
sysdig	0.1.102	System-level exploration and troubleshooting tool
szip	2.1	Implementation of extended-Rice lossless compression algorithm
szl	1.0	Compiler and runtime for the Sawzall language
t1lib	5.1.2	C library to generate/rasterize bitmaps from Type 1 fonts
t1utils	1.39	Command-line tools for dealing with Type 1 fonts
ta-lib	0.4.0	Tools for market analysis
tachyon	0.6.4	Distributed storage system to enable data sharing across cluster frameworks
tag	v0.8.1	Manipulate and query tags on Mavericks files
taglib	v1.9.1	Audio metadata library
takt	0.309	text-based music programming language
taktuk	3.7.5	Deploy commands to (a potentially large set of) remote nodes
tal	1.9	Align line endings if they match
talk-filters	2.3.8	Convert English text to stereotyped or humorous dialects
talloc	2.1.2	Hierarchical, reference-counted memory pool with destructors
tarsnap	1.0.36.1	Online backups for the truly paranoid
task	2.4.4	Feature-rich console based todo list manager
task-spooler	0.7.5	Batch system to run tasks one after another
taskd	1.1.0	Client-server synchronization for todo lists
tasksh	1.0.0	Shell wrapper for Taskwarrior commands
tbb	4.3-20150611	Rich and complete approach to parallelism in C++
tcc	0.9.26	Tiny C compiler
tcl-tk	8.6.6	Tool Command Language
tclap	1.2.1	Templatized C++ command-line parser library
tcpflow	1.4.4	TCP flow recorder
tcping	1.3.5	TCP connect to the given IP/port combo
tcpreplay	4.1.0	Replay saved tcpdump files at arbitrary speeds
tcpsplit	0.2	Break a packet trace into some number of sub-traces
tcptrace	6.6.7	Analyze tcpdump output
tcptraceroute	1.5beta7	Traceroute implementation using TCP packets
tcptrack	1.4.2	Monitor status of TCP connections on a network interface
tcptunnel	v0.8	TCP port forwarder
tcsh	6.20.00	Enhanced, fully compatible version of the Berkeley C shell
td	1.3.0	Your todo list in your terminal
teapot	2.3.0	Table editor and planner
tee-clc	14.0.1	Eclipse client for Visual Studio 2010 Team Foundation Server
teem	1.11.0	Libraries for scientific raster data
teensy_loader_cli	2.1	Command-line integration for Teensy USB development boards
tegh	0.3.1	Command-line client for Prontserve
telegraf	v0.1.9	Server-level metric gathering agent for InfluxDB
telepathy-gabble	0.18.3	Telepathy Jabber/XMPP connection manager
telepathy-glib	0.24.0	Telepathy GLib library for clients and connection managers
telepathy-idle	0.2.0	Telepathy IRC connection manager
telepathy-mission-control	5.16.2	Telepathy account manager and channel dispatcher
tenfourfox	31.0.0
tenyr	v0.6.0	32-bit computing environment
term	2.1	Open terminal in specified directory (and optionally run command)
terminal-notifier	1.6.3	Send OS X User Notifications from the command-line
termrec	0.17	Record videos of terminal output
termshare	v0.2.0	Interactive or view-only terminal sharing via client or web
terraform	v0.6.3	Tool to build, change, and version infrastructure
tesseract	3.04.00	OCR (Optical Character Recognition) engine
testdisk	7.0	TestDisk is a powerful free data recovery utility
tevent	0.9.21	Event system based on the talloc memory management library
texapp	0.6.10	App.net client based on TTYtter
texi2html	1.82	Convert TeXinfo files to HTML
texinfo	6.0	Official documentation format of the GNU project
texmath	0.8.0.2	Haskell library for converting LaTeX math to MathML
thc-pptp-bruter	0.1.4	Brute force program against PPTP VPN endpoints (TCP port 1723)
the_platinum_searcher	v1.7.8	Multi-platform code-search similar to ack and ag
the_silver_searcher	0.31.0	Code-search similar to ack
thefuck	3.0	Programatically correct mistyped console commands
theharvester	2.2	Gather materials from public sources (for pen testers)
theora	1.1.1	Open video compression format
thrift	0.9.2	Framework for scalable cross-language services development
thrulay	0.9	Measure performance of a network
tidy-html5	5.0.0	Granddaddy of HTML tools, with support for modern standards
tidyp	1.04	Validate and modify HTML
tiff2png	v0.92	TIFF to PNG converter
tig	2.1.1	Text interface for Git repositories
tika	1.10	Content analysis toolkit
timedog	v1.4	Lists files that were saved by a backup of the OS X Time Machine
timelimit	1.8	Limit a process's absolute execution time
timidity	2.14.0	Software synthesizer
tin	2.2.1	Threaded, NNTP-, and spool-based UseNet newsreader
tinc	1.0.25	Virtual Private Network (VPN) tool
tintin	2.01.0	MUD client
tiny-fugue	5.0b8	Programmable MUD client
tinycdb	0.78	Create and read constant databases
tinyproxy	1.8.3	HTTP/HTTPS proxy for POSIX systems
tinyscheme	1.40	Very small Scheme implementation
tinysvm	0.09	Support vector machine library for pattern recognition
tinyxml	2_6_2	XML parser
tinyxml2	3.0.0	Improved tinyxml (in memory efficiency and size)
tippecanoe	v1.2.0	Build vector tilesets from collections of GeoJSON features
titan-server	0.4.4	Distributed graph database
tivodecode	0.2per4	Convert .tivo to .mpeg
tkdiff	4.2	Graphical side by side diff utility
tlassemble	v1.0	Create time lapse movies from image sequences
tlsdate	0.0.8	Secure rdate replacement
tmpreaper	1.6.13	Clean up files in directories based on their age
tmpwatch	2.11	Find and remove files not accessed in a specified time
tmux	2.0	Terminal multiplexer
tmux-cssh	1.0.6-0	TMUX with a ClusterSSH-like behavior
tmux-mem-cpu-load	v3.2.2	CPU, RAM memory, and load monitor for use with tmux
tn5250	0.17.4	5250 terminal and printer emulator
tnef	1.4.12	Microsoft MS-TNEF attachment unpacker
tnote	0.2.1	Small note-taking program for the terminal
todo-txt	2.10	Minimal, todo.txt-focused editor
tofrodos	1.7.13	Converts DOS <-> UNIX text files, alias tofromdos
toilet	0.3	Color-based alternative to figlet (uses libcaca)
tokyo-cabinet	1.4.48	Lightweight database library
tokyo-dystopia	0.9.15	Lightweight full-text search system
tokyo-tyrant	1.1.41	Lightweight database server
tomcat	8.0.26	Implementation of Java Servlet and JavaServer Pages
tomcat-native	1.1.33	Lets Tomcat use some native resources for performance
tomee-jax-rs	1.7.2	TomeEE Web Profile plus JAX-RS
tomee-plume	1.7.2	Apache TomEE Plume
tomee-plus	1.7.2	Everything in TomEE Web Profile and JAX-RS, plus more
tomee-webprofile	1.7.2	All-Apache Java EE 6 Web Profile stack
topgit	0.9	Git patch queue manager
tor	0.2.6.10	Anonymizing overlay network for TCP
torrentcheck	1.00	Command-line torrent viewer and hash checker
torsocks	v2.1.0	Use SOCKS-friendly applications with Tor
tpl	v1.6.1	Store and retrieve binary data in C
tpp	1.3.1	Ncurses-based presentation tool
trace2html	2015-06-23	Utility from Google Trace Viewer to convert JSON traces to HTML
tracebox	v0.3.1	Middlebox detection tool
tractorgen	0.31.7	Generates ASCII tractor art
trafficserver	5.3.1	HTTP/1.1 compliant caching proxy server
trafshow	5.2.3	Continuous network traffic display
trang	20091111	XML schema converter
transcrypt	v0.9.7	Configure transparent encryption of files in a Git repo
translate-toolkit	1.12.0	Toolkit for localization engineers
transmission	2.84	Lightweight BitTorrent client
trash	v0.8.5	CLI tool that moves files or folder to the trash
tre	0.8.0	Lightweight, POSIX-compliant regular expression (regex) library
tree	1.7.0	Display directories as trees (with optional color/HTML output)
treecc	0.3.10	Aspect-oriented approach to writing compilers
treeline	2.0.0	Advanced outliner and personal information manager
trr	22.0.99.5	Type training program for emacs users
truecrack	v35	Brute-force password cracker for TrueCrypt
tsung	1.6.0	Load testing for HTTP, PostgreSQL, Jabber, and others
tta	2.2	TTA lossless audio codec
ttf2eot	0.0.2-2	Convert TTF files to EOT
ttf2pt1	3.4.4	True Type Font to Postscript Type 1 converter
ttfautohint	1.3	Automated hinting process for web fonts
tth	4.06	TeX/LaTeX to HTML converter
tty-clock	v0.1	Analog clock in ncurses
ttylog	0.25	Serial port logger: print everything from a serial device
ttyrec	1.0.8	Terminal interaction recorder and player
ttytter	2.1.00	Twitter command-line client
tuntap	20111101	Virtual network interfaces for OS X
tutum	0.16.21	Docker platform for dev and ops
tvnamer	2.3	Automatic TV episode file renamer that uses data from thetvdb.com
